station_slug,station_name,city,country,latitude,longitude
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,Ho Chi Minh City,Vietnam,10.7799,106.647
vietnam/ho-chi-minh/ho-chi-minh-city/tp-ho-chi-minh-duong-nguyen-van-tao,Tp Ho Chi Minh Duong Nguyen Van Tao,Ho Chi Minh City,Vietnam,10.6596,106.728
vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,Ho Chi Minh City US Consulate,Ho Chi Minh City,Vietnam,10.783,106.701
vietnam/ho-chi-minh/ho-chi-minh-city/duong-ngo-quang-tham,Duong Ngo Quang Tham,Ho Chi Minh City,Vietnam,10.658,106.724
vietnam/ho-chi-minh/ho-chi-minh-city/long-an-tt-van-hoa-huyen-can-giuoc,Long An TT van hoa huyen Can Giuoc,Ho Chi Minh City,Vietnam,10.6056,106.666
vietnam/ho-chi-minh/ho-chi-minh-city/long-an-xa-duc-lap-ha,Long An xa Duc Lap Ha,Ho Chi Minh City,Vietnam,10.9127,106.431
vietnam/binh-duong/thanh-pho-thu-dau-mot/hiep-thanh,Hiep Thanh,Thanh pho Thu Dau Mot,Vietnam,10.9923,106.658
vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,Phuoc Hiep,Thanh pho Ba Ria,Vietnam,10.5024,107.169
vietnam/ba-ria-vung-tau/vung-tau/phuong-7,phuong 7,Vung Tau,Vietnam,10.368,107.084
